x,t,A_average,A_min,A_max,fla_average,fla_min,fla_max
pUC18,0,0.044633333333333,0.001033333333333,0.001466666666667,17263056.7042838,36794416.2980329,34346744.9937447
pUC18,3,0.192466666666667,0.014566666666667,0.017133333333333,1669759.86160434,2142906.3272035,2054315.31855223
pUC18,6,0.351033333333333,0.013133333333333,0.011766666666667,804610.561135492,1157592.52407016,1310560.748478
pUC18,9,0.54,0.0309,0.0498,200423.843903855,180063.398867149,173707.839975477
pUC18,12,0.656733333333333,0.008333333333333,0.012666666666667,2214230.53352339,2424362.41973941,4473719.149472
pUC18,24,0.4424,0.0244,0.0189,1968934.78587068,445391.852605479,370905.776621647
pSB1A2-J04450,0,0.065066666666667,0.005233333333333,0.005966666666667,10513867.6517495,21949335.3658429,15254770.4324945
pSB1A2-J04450,3,0.247333333333333,0.0112,0.0166,-590031.270860949,801267.019143554,1166979.34068577
pSB1A2-J04450,6,0.458333333333333,0.0313,0.0245,1005721.72029942,325916.429715758,171226.847723257
pSB1A2-J04450,9,0.683366666666666,0.028633333333333,0.055566666666667,-243608.999028469,75292.4952385098,103370.727381055
pSB1A2-J04450,12,0.827666666666666,0.052933333333333,0.058766666666667,214964.20734102,947312.986391518,1604631.20247644
pSB1A2-J04450,24,0.738166666666666,0.011833333333333,0.016766666666667,399778.51721465,135466.140805094,106895.400961247
pSB1A2-Plux-GFP,0,0.051433333333333,0.006933333333333,0.009466666666667,-63154617.8996298,12901098.9711355,25002245.9484697
pSB1A2-Plux-GFP,3,0.220633333333333,0.015233333333333,0.009266666666667,4217841.97211605,2226769.69983885,1990859.40856624
pSB1A2-Plux-GFP,6,0.4307,0.032,0.0408,3249412.06642027,1542455.71318405,949157.057785492
pSB1A2-Plux-GFP,9,0.627266666666667,0.069766666666667,0.052333333333333,4390852.73254818,289080.763894704,257360.315505618
pSB1A2-Plux-GFP,12,0.635466666666667,0.060966666666667,0.046633333333333,6298866.60745663,298649.080530861,339370.044891518
pSB1A2-Plux-GFP,24,0.4418,0.0109,0.0058,5690325.94036933,248540.365937062,156198.928503933
11,0,0.0414,0.0008,0.0015,1164416410.83502,92790160.8870925,105684578.431078
11,3,0.198766666666667,0.022566666666667,0.030733333333333,411911728.465202,155532203.65439,111478188.918778
11,6,0.370566666666667,0.012166666666667,0.012133333333333,226866739.889704,31311970.2828862,42004101.7427206
11,9,0.6441,0.0416,0.0236,333447289.317385,53802082.8915486,82086728.8067302
11,12,0.6855,0.0196,0.0344,404281513.50278,15966144.6821326,11041292.4364703
11,24,0.534033333333333,0.006033333333333,0.006766666666667,434729852.596579,235279000.463936,458719088.702925
12,0,0.042733333333333,0.0068,0.0042,717990023.961875,140621890.311353,250428007.781102
12,3,0.1765,0.005366666666667,0.009333333333333,387984729.985454,37140723.4701389,28031300.9348107
12,6,0.312133333333333,0.0118,0.013,213759726.502533,54638889.907532,29559393.5773892
12,9,0.591766666666666,0.015533333333333,0.029466666666667,391608226.809484,65153810.9063274,112614341.592466
12,12,0.616866666666666,0.028233333333333,0.038666666666667,347981044.730157,59819699.8796132,64835583.3436244
12,24,0.472333333333333,0.0194,0.01,471829162.1081,260241927.704764,492049551.2798
13,0,0.059733333333333,0.001233333333333,0.001166666666667,51125978.7503255,16186290.0990689,14116089.090033
13,3,0.351,0.0576,0.0513,12562945.55329,2969298.02319087,2462114.59369595
13,6,0.491666666666667,0.041166666666667,0.037433333333333,11851415.2676884,4146167.02189961,5031418.57869497
13,9,0.651233333333333,0.048833333333333,0.036266666666667,18818719.0194589,1891591.13583333,1570829.76291022
13,12,0.8129,0.0461,0.0578,18498316.2258002,1439762.92937986,1233491.77348003
13,24,0.453666666666667,0.011766666666667,0.015633333333333,17025948.6508114,2204904.50684685,1668432.41739609
21,0,0.057666666666667,0.002966666666667,0.001833333333333,210794195.323734,8871904.66179946,6012073.66912425
21,3,0.231466666666667,0.006166666666667,0.005133333333333,39788777.6248513,10262042.0330269,7607067.75226362
21,6,0.464366666666667,0.020766666666667,0.026833333333333,51438835.9685877,26704473.1183065,51355592.5616083
21,9,0.776333333333333,0.002233333333333,0.003066666666667,73342416.1149928,41283949.8921074,79162021.4767036
21,12,0.920833333333333,0.034433333333333,0.044866666666667,82319920.453155,40115232.7327634,78896691.0300136
21,24,0.4674,0.0024,0.0037,97943903.5792834,53837875.9133293,106709254.730598
22,0,0.035266666666667,0.001533333333333,0.001466666666667,381617093.314155,85825577.4759319,128330531.238644
22,3,0.1154,0.004866666666667,0.009133333333333,228909912.998882,44344852.9775137,61899697.4580045
22,6,0.333666666666666,0.007233333333333,0.006966666666667,71144811.1461428,4055308.172892,3006347.80430734
22,9,0.678266666666666,0.057733333333333,0.040866666666667,77118470.3203674,52997552.4260607,97280773.1413876
22,12,0.916166666666666,0.086933333333333,0.051766666666667,76051884.8961209,40444007.067931,65812627.6626955
22,24,0.498233333333333,0.0031,0.0026,115214194.766947,61289319.4759035,122158569.164658
23,0,0.039633333333333,0.007233333333333,0.009266666666667,486703688.889312,284668457.075015,350730264.268235
23,3,0.246666666666667,0.032966666666667,0.022433333333333,64834242.9975955,16100901.4799326,30871356.8842174
23,6,0.407866666666667,0.011366666666667,0.006033333333333,46530444.2248362,1419073.08647126,2405727.51969343
23,9,0.621966666666667,0.027666666666667,0.025333333333333,72141282.772991,27746261.3477529,14737036.9096005
23,12,0.603533333333333,0.009433333333333,0.015666666666667,176103263.752777,98565242.6335571,155610021.771416
23,24,0.4025,0.0256,0.0246,64073603.9439063,4975451.19014802,6220129.99686905
31,0,0.0446,0.0019,0.003,861381371.133088,207745210.786596,182562086.38967
31,3,0.26,0.0185,0.0155,198646055.122652,99433764.429714,118400589.454104
31,6,0.684133333333333,0.036333333333333,0.040366666666667,318170705.759789,158882525.449974,313574418.680838
31,9,0.8796,0.0459,0.0328,204330238.079486,24949182.6734066,26303513.9680186
31,12,1.04056666666667,0.000466666666667,0.000533333333333,224552342.079823,11263799.6270205,12935541.5146275
31,24,0.514233333333333,0.015933333333333,0.011566666666667,281660964.377367,1990365.61965913,2568307.64869183
32,0,0.041366666666667,0.009333333333333,0.011966666666667,954388796.578465,564399929.390963,330537047.01362
32,3,0.192266666666666,0.000733333333333,0.000966666666667,337179494.352436,12745804.8619982,22685468.6274536
32,6,0.4298,0.009966666666667,0.011233333333333,156271461.835962,11587210.9891869,15930926.0187252
32,9,0.801833333333333,0.0117,0.0223,158825315.092139,3846301.31817448,4687452.20497605
32,12,0.870366666666666,0.113133333333333,0.088566666666667,182511018.834318,45116402.1699027,35379999.5078578
32,24,0.4694,0.007066666666667,0.006133333333333,612337619.339713,359467366.326157,688429658.332402
33,0,0.059066666666667,0.002166666666667,0.001833333333333,121868322.768051,55188996.7733491,57615303.1568861
33,3,0.2663,0.0189,0.0153,11560429.850591,2081658.58135245,2161039.25946587
33,6,0.479433333333333,0.005933333333333,0.004866666666667,13370747.6998986,1105734.00504645,1411857.85716687
33,9,0.6719,0.0308,0.0201,16990197.8553895,1101369.99055381,2150844.42603937
33,12,0.848866666666667,0.027466666666667,0.018533333333333,17656125.8728152,1388717.42413316,1248273.01138426
33,24,0.4463,0.0181,0.0115,16925479.591807,2730753.26726952,2429667.64405425
