x,t,A,BF,YF
4C3K,blc,0.1026,1733202,69698
4C3K,0,0.1111,1316731,69009
4C3K,2,0.1283,1731165,61452
4C3K,4,0.1259,1326324,70860
4C3K,6,0.1328,2368922,73546
4C3K,8,0.1451,1562797,68953
4C3K,10,0.198,2080109,99861
4C3K,12,0.3839,6646377,394768
3C4K,blc,0.0972,1084310,83396
3C4K,0,0.1056,1549774,84563
3C4K,2,0.131,1452290,166794
3C4K,4,0.1815,1140379,403074
3C4K,6,0.2802,2136288,505965
3C4K,8,0.4176,1816336,7201474
3C4K,10,0.6025,2170582,18881048
3C4K,12,0.5844,2917652,17403920
1C4K,blc,0.103,2245954,67771
1C4K,0,0.1107,1010520,73004
1C4K,2,0.1347,2615713,69606
1C4K,4,0.1549,1925670,100901
1C4K,6,0.2092,4867656,209125
1C4K,8,0.369,5684004,430768
1C4K,10,0.6248,11182993,1034249
1C4K,12,0.7055,15754288,3347523
1C3K,blc,0.0978,1228917,73717
1C3K,0,0.1078,2104699,73026
1C3K,2,0.1221,1621586,73759
1C3K,4,0.1508,2070917,90652
1C3K,6,0.2192,3372751,105460
1C3K,8,0.3743,5423840,147630
1C3K,10,0.7304,7340436,249108
1C3K,12,0.7125,9421568,231033
4C3K,blc,0.1006,1527130,73837
4C3K,0,0.1145,1631423,65214
4C3K,2,0.1196,2917812,71099
4C3K,4,0.128,2146091,82033
4C3K,6,0.1299,2499855,74104
4C3K,8,0.1439,2161242,76911
4C3K,10,0.2726,3912716,80333
4C3K,12,0.367,5163147,462928
3C4K,blc,0.0965,1328887,80137
3C4K,0,0.1056,3231557,97847
3C4K,2,0.1343,972483,174763
3C4K,4,0.18,2255547,379795
3C4K,6,0.2688,1629191,462697
3C4K,8,0.3951,1811768,8037297
3C4K,10,0.5557,3570400,19528424
3C4K,12,0.5333,2392326,17638816
1C4K,blc,0.1,2466034,74611
1C4K,0,0.1133,2805423,69216
1C4K,2,0.126,1553802,72255
1C4K,4,0.1673,1987234,89698
1C4K,6,0.2199,3707664,215545
1C4K,8,0.372,5865998,447874
1C4K,10,0.6349,11363421,813551
1C4K,12,0.6773,13273526,3306360
1C3K,blc,0.0953,1566525,83029
1C3K,0,0.1054,2948944,82160
1C3K,2,0.1256,1683634,84411
1C3K,4,0.1517,3033318,80402
1C3K,6,0.214,3850707,108893
1C3K,8,0.38,3183160,155051
1C3K,10,0.7235,8619072,281028
1C3K,12,0.7134,12900394,265249
4C3K,blc,0.0975,1444676,75620
4C3K,0,0.1067,2113432,73182
4C3K,2,0.1173,2186244,82470
4C3K,4,0.1209,1814635,76730
4C3K,6,0.1257,2577574,68586
4C3K,8,0.1383,3240300,87709
4C3K,10,0.1975,2835779,100039
4C3K,12,0.3535,4554839,484244
3C4K,blc,0.095,1831003,80109
3C4K,0,0.1044,2501162,91412
3C4K,2,0.1322,1488126,161676
3C4K,4,0.1818,1362806,348520
3C4K,6,0.2828,2336436,452694
3C4K,8,0.4164,2204474,8436901
3C4K,10,0.5865,2655594,19779432
3C4K,12,0.57,2267600,16429575
1C4K,blc,0.0976,1718080,77917
1C4K,0,0.1075,928016,69205
1C4K,2,0.1206,1782603,79475
1C4K,4,0.1521,3870893,89122
1C4K,6,0.2224,3892851,222194
1C4K,8,0.3627,7741996,545821
1C4K,10,0.6815,12013456,887946
1C4K,12,0.698,15735452,3391742
1C3K,blc,0.0955,1492567,77479
1C3K,0,0.1028,1133624,71706
1C3K,2,0.1237,1612981,82689
1C3K,4,0.1437,2896874,70892
1C3K,6,0.2143,2638056,99381
1C3K,8,0.4093,5605904,165138
1C3K,10,0.7723,9766396,299075
1C3K,12,0.7507,12078169,290143
4C3K,blc,0.0975,1460584,78576
4C3K,0,0.1057,2273694,76782
4C3K,2,0.1139,1882526,79619
4C3K,4,0.1228,2026442,74637
4C3K,6,0.125,3317639,74277
4C3K,8,0.1406,2961023,81647
4C3K,10,0.1991,2405468,108361
4C3K,12,0.3598,4740296,451133
3C4K,blc,0.0974,1058382,74967
3C4K,0,0.1049,1375000,92938
3C4K,2,0.1291,2499680,153160
3C4K,4,0.1813,1329883,330134
3C4K,6,0.2827,1748739,457063
3C4K,8,0.4282,2149952,8405200
3C4K,10,0.5903,1531379,18167140
3C4K,12,0.5562,3025104,17560790
1C4K,blc,0.097,2175801,84512
1C4K,0,0.1072,1968390,78150
1C4K,2,0.1197,3516126,81170
1C4K,4,0.1518,3475777,89318
1C4K,6,0.217,4133208,256174
1C4K,8,0.3723,6772710,488368
1C4K,10,0.7047,8995387,853236
1C4K,12,0.6798,14870052,2929630
1C3K,blc,0.0966,1051234,79757
1C3K,0,0.1024,2143442,76843
1C3K,2,0.1202,2669026,69381
1C3K,4,0.1523,1821486,76407
1C3K,6,0.2239,2978011,115914
1C3K,8,0.4091,4414276,163036
1C3K,10,0.7706,8044535,261062
1C3K,12,0.715,12011109,277778
4C3K,blc,0.0953,2113707,80420
4C3K,0,0.1088,1938218,71101
4C3K,2,0.1155,1895484,83592
4C3K,4,0.1229,1880502,73323
4C3K,6,0.1279,2203897,77684
4C3K,8,0.1364,2059014,78614
4C3K,10,0.2003,3601662,94344
4C3K,12,0.3779,5908999,428282
3C4K,blc,0.0989,1661214,77805
3C4K,0,0.103,2727431,85548
3C4K,2,0.1346,1303775,168856
3C4K,4,0.182,2352228,336040
3C4K,6,0.2802,2271652,485305
3C4K,8,0.4232,1061177,7318882
3C4K,10,0.6114,3298692,19268002
3C4K,12,0.5433,1402060,16278026
1C4K,blc,0.0969,1676611,88263
1C4K,0,0.1049,884476,75306
1C4K,2,0.122,2631834,86889
1C4K,4,0.1502,1730716,87221
1C4K,6,0.2196,3999713,229006
1C4K,8,0.3475,5619176,503597
