x,t,A,F
4C,0,0.1177,236090
4C,0,0.1177,241520
4C,0,0.1236,219893
4C,0,0.1262,256176
4C,2,0.1135,390739
4C,2,0.1178,385357
4C,2,0.1192,418579
4C,2,0.1314,437200
4C,4,0.1262,367230
4C,4,0.1282,384310
4C,4,0.1314,447812
4C,4,0.1349,390492
4C,6,0.1246,389999
4C,6,0.1263,381740
4C,6,0.1295,396808
4C,6,0.1319,361341
4C,8,0.1585,447765
4C,8,0.1587,414686
4C,8,0.1594,500689
4C,8,0.1604,498880
4C,10,0.2158,569551
4C,10,0.2347,698088
4C,10,0.2408,913791
4C,10,0.2648,949275
4C,12,0.42,4387348
4C,12,0.4464,4385172
4C,12,0.4747,4427343
4C,12,0.5087,4322020
4C,blc,0.1054,83379
4C,blc,0.1062,88758
4C,blc,0.1107,69803
4C,blc,0.1143,78608
3C,0,0.1118,119585
3C,0,0.1147,100951
3C,0,0.1186,113352
3C,0,0.1204,122749
3C,2,0.1416,643069
3C,2,0.1511,521746
3C,2,0.152,520101
3C,2,0.1561,633929
3C,4,0.227,1643164
3C,4,0.2342,1622697
3C,4,0.2392,2111904
3C,4,0.2542,1655993
3C,6,0.3763,11366065
3C,6,0.3775,10733993
3C,6,0.4346,12882327
3C,6,0.5116,11390039
3C,8,0.5198,26320108
3C,8,0.5322,23892514
3C,8,0.6053,27370308
3C,8,0.6818,24805618
3C,10,0.6837,64940580
3C,10,0.7017,59664120
3C,10,0.7635,67886008
3C,10,0.8493,47424128
3C,12,0.6333,54750680
3C,12,0.6554,62444276
3C,12,0.6727,59668620
3C,12,0.7457,66863576
3C,blc,0.0996,78135
3C,blc,0.1018,75026
3C,blc,0.1043,76873
3C,blc,0.1082,76657
1C,0,0.1106,84618
1C,0,0.1122,103068
1C,0,0.1139,90442
1C,0,0.1158,96712
1C,2,0.1715,187325
1C,2,0.1744,163465
1C,2,0.1811,177542
1C,2,0.1835,170222
1C,4,0.303,394517
1C,4,0.3191,334616
1C,4,0.3353,416389
1C,4,0.3429,510735
1C,6,0.6242,6881385
1C,6,0.6404,8737201
1C,6,0.6473,7997528
1C,6,0.6492,7123960
1C,8,0.7598,20596390
1C,8,0.7663,18347396
1C,8,0.7764,20022562
1C,8,0.8096,19831992
1C,10,0.8714,57214928
1C,10,0.888,61709700
1C,10,0.8888,65105960
1C,10,0.8891,63865244
1C,12,0.7265,73255256
1C,12,0.728,71152888
1C,12,0.7337,65662100
1C,12,0.7389,68942280
1C,blc,0.1038,78097
1C,blc,0.1046,84109
1C,blc,0.1052,79428
1C,blc,0.1065,76375
